metric_time,resource_id,deployment_name,model_name,processed_prompt_tokens,generated_tokens,total_tokens,requests,latency_ms,throttled_count,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-25T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,744390,497367,1241757,501,559.3,5,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-25,batch-2026-09-04,MOCK
2026-08-24T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1459475,603861,2063336,4973,2088.5,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-24,batch-2026-09-04,MOCK
2026-08-24T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,1004912,602679,1607591,3050,3273.9,2,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-24,batch-2026-09-04,MOCK
2026-08-24T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,727006,325282,1052288,3204,2906.9,13,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-24,batch-2026-09-04,MOCK
2026-08-23T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,664114,324304,988418,1099,2492.2,8,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-23,batch-2026-09-04,MOCK
2026-08-23T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,1155309,537799,1693108,1819,2496.2,19,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-23,batch-2026-09-04,MOCK
2026-08-23T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,279223,147582,426805,4433,3457.7,15,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-23,batch-2026-09-04,MOCK
2026-08-22T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,945596,513967,1459563,2692,1056.9,18,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-22,batch-2026-09-04,MOCK
2026-08-22T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,322028,175735,497763,4166,1915.0,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-22,batch-2026-09-04,MOCK
2026-08-22T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,1082856,674827,1757683,2006,2538.3,6,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-22,batch-2026-09-04,MOCK
2026-08-21T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,297898,92227,390125,1066,2633.6,6,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-21,batch-2026-09-04,MOCK
2026-08-21T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,918307,292202,1210509,2964,2049.4,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-21,batch-2026-09-04,MOCK
2026-08-21T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,73692,40990,114682,2407,1039.6,2,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-21,batch-2026-09-04,MOCK
2026-08-20T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,679741,341689,1021430,2753,2731.2,3,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-20,batch-2026-09-04,MOCK
2026-08-20T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,765887,351097,1116984,4760,2232.8,0,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-20,batch-2026-09-04,MOCK
2026-08-20T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,456880,197466,654346,2868,3243.5,15,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-20,batch-2026-09-04,MOCK
2026-08-19T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,124571,69543,194114,4044,712.8,14,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-19,batch-2026-09-04,MOCK
2026-08-19T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,1019870,625787,1645657,3491,3261.7,1,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-19,batch-2026-09-04,MOCK
2026-08-19T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,1234770,728496,1963266,2684,2032.1,0,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-19,batch-2026-09-04,MOCK
2026-08-18T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1260890,723999,1984889,2996,418.5,4,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-18,batch-2026-09-04,MOCK
2026-08-18T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,115374,50263,165637,3173,2267.5,5,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-18,batch-2026-09-04,MOCK
2026-08-18T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,442962,238347,681309,2625,2527.4,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-18,batch-2026-09-04,MOCK
2026-08-17T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,619371,288346,907717,4171,3094.3,11,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-17,batch-2026-09-04,MOCK
2026-08-17T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,684658,264590,949248,2576,777.5,11,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-17,batch-2026-09-04,MOCK
2026-08-17T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,473831,315259,789090,3735,1869.8,15,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-17,batch-2026-09-04,MOCK
2026-08-16T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,448902,195742,644644,4060,2617.1,16,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-16,batch-2026-09-04,MOCK
2026-08-16T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,736477,263156,999633,904,2913.1,16,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-16,batch-2026-09-04,MOCK
2026-08-16T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,480308,283299,763607,3863,1479.0,16,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-16,batch-2026-09-04,MOCK
2026-08-15T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,58619,24877,83496,460,2467.3,19,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-15,batch-2026-09-04,MOCK
2026-08-15T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,748959,364556,1113515,477,540.2,9,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-15,batch-2026-09-04,MOCK
2026-08-15T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,1261230,761023,2022253,1819,1258.9,6,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-15,batch-2026-09-04,MOCK
2026-08-14T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,630176,323223,953399,3713,2414.7,8,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-14,batch-2026-09-04,MOCK
2026-08-14T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,380293,155712,536005,224,3362.4,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-14,batch-2026-09-04,MOCK
2026-08-14T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,483224,249832,733056,4600,1251.0,4,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-14,batch-2026-09-04,MOCK
2026-08-13T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,1253939,498979,1752918,683,1227.5,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-13,batch-2026-09-04,MOCK
2026-08-13T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,156380,55050,211430,3956,3180.9,1,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-13,batch-2026-09-04,MOCK
2026-08-13T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,854466,274727,1129193,3593,1493.3,19,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-13,batch-2026-09-04,MOCK
2026-08-12T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,1342506,593722,1936228,2822,2897.6,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-12,batch-2026-09-04,MOCK
2026-08-12T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,1026633,541154,1567787,861,2882.4,14,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-12,batch-2026-09-04,MOCK
2026-08-12T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,1005429,426459,1431888,3912,1752.8,7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-12,batch-2026-09-04,MOCK
2026-08-11T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1343821,541856,1885677,3077,1493.9,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-11,batch-2026-09-04,MOCK
2026-08-11T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,1000603,495301,1495904,635,1768.6,11,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-11,batch-2026-09-04,MOCK
2026-08-11T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,1017293,649344,1666637,2412,2734.2,19,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-11,batch-2026-09-04,MOCK
2026-08-10T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1115247,380492,1495739,976,1275.4,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-10,batch-2026-09-04,MOCK
2026-08-10T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,683587,350747,1034334,3383,2148.8,7,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-10,batch-2026-09-04,MOCK
2026-08-10T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,1199132,436014,1635146,4051,1466.6,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-10,batch-2026-09-04,MOCK
2026-08-09T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1289354,609167,1898521,3666,2071.8,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-09,batch-2026-09-04,MOCK
2026-08-09T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,412986,233355,646341,738,2639.9,18,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-09,batch-2026-09-04,MOCK
2026-08-09T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,289752,155557,445309,3892,1273.7,3,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-09,batch-2026-09-04,MOCK
2026-08-08T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,419463,177522,596985,3424,429.7,3,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-08,batch-2026-09-04,MOCK
2026-08-08T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,736624,366631,1103255,603,498.8,4,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-08,batch-2026-09-04,MOCK
2026-08-08T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,357705,201871,559576,3810,1953.1,12,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-08,batch-2026-09-04,MOCK
2026-08-07T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,460342,175972,636314,2693,1189.1,9,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-07,batch-2026-09-04,MOCK
2026-08-07T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,771975,537383,1309358,4873,226.8,16,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-07,batch-2026-09-04,MOCK
2026-08-07T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,317503,203520,521023,611,1418.4,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-07,batch-2026-09-04,MOCK
2026-08-06T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,51768,30094,81862,3042,562.0,9,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-06,batch-2026-09-04,MOCK
2026-08-06T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,543336,256827,800163,4934,1501.1,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-06,batch-2026-09-04,MOCK
2026-08-06T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,901512,408047,1309559,4565,897.0,5,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-06,batch-2026-09-04,MOCK
2026-08-05T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,341648,128217,469865,3250,2983.0,11,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-05,batch-2026-09-04,MOCK
2026-08-05T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,373521,155156,528677,1128,643.1,2,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-05,batch-2026-09-04,MOCK
2026-08-05T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,351981,207153,559134,4087,2371.2,4,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-05,batch-2026-09-04,MOCK
2026-08-04T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,337771,188103,525874,3506,3038.5,19,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-04,batch-2026-09-04,MOCK
2026-08-04T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,1357046,504711,1861757,4273,1599.6,14,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-04,batch-2026-09-04,MOCK
2026-08-04T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,795133,310337,1105470,3579,2195.1,18,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-04,batch-2026-09-04,MOCK
2026-08-03T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,546500,319621,866121,2305,1555.8,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-03,batch-2026-09-04,MOCK
2026-08-03T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,120174,83075,203249,4754,1794.8,11,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-03,batch-2026-09-04,MOCK
2026-08-03T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,1266911,624097,1891008,755,668.9,16,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-03,batch-2026-09-04,MOCK
2026-08-02T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,1025042,519470,1544512,4387,3136.7,2,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-02,batch-2026-09-04,MOCK
2026-08-02T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,1040802,574798,1615600,739,2457.4,17,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-02,batch-2026-09-04,MOCK
2026-08-02T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,1335636,428885,1764521,2914,1965.6,0,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-02,batch-2026-09-04,MOCK
2026-08-01T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,1002179,506165,1508344,3943,2094.1,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-01,batch-2026-09-04,MOCK
2026-08-01T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,790115,540622,1330737,2513,1154.4,1,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-01,batch-2026-09-04,MOCK
2026-08-01T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,1232177,498017,1730194,3976,2107.9,18,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-08-01,batch-2026-09-04,MOCK
2026-07-31T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1426402,992983,2419385,323,1146.5,2,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-31,batch-2026-09-04,MOCK
2026-07-31T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,1110311,367229,1477540,2376,1031.8,19,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-31,batch-2026-09-04,MOCK
2026-07-31T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,627172,403361,1030533,216,2646.7,19,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-31,batch-2026-09-04,MOCK
2026-07-30T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,1291031,768921,2059952,3758,1420.2,5,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-30,batch-2026-09-04,MOCK
2026-07-30T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,545338,269379,814717,4420,3044.6,10,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-30,batch-2026-09-04,MOCK
2026-07-30T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,354234,190654,544888,1362,2964.1,13,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-30,batch-2026-09-04,MOCK
2026-07-29T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,549011,309788,858799,1470,895.8,11,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-29,batch-2026-09-04,MOCK
2026-07-29T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-mini-prod,gpt-4.1-mini,1396919,566811,1963730,1050,373.3,14,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-29,batch-2026-09-04,MOCK
2026-07-29T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-prod,gpt-4.1,1048730,441040,1489770,4462,971.1,12,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-29,batch-2026-09-04,MOCK
2026-07-28T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,600764,215109,815873,3661,239.1,14,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-28,batch-2026-09-04,MOCK
2026-07-28T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,1472903,627862,2100765,4443,2453.5,1,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-28,batch-2026-09-04,MOCK
2026-07-28T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,1164202,646096,1810298,3637,2214.6,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-28,batch-2026-09-04,MOCK
2026-07-27T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-prod,gpt-4.1,752477,307108,1059585,905,1042.6,18,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-27,batch-2026-09-04,MOCK
2026-07-27T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,1017014,619626,1636640,2080,2623.2,18,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-27,batch-2026-09-04,MOCK
2026-07-27T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,1140419,496039,1636458,1573,1233.8,0,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-27,batch-2026-09-04,MOCK
2026-07-26T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,192505,58672,251177,900,1933.4,14,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-26,batch-2026-09-04,MOCK
2026-07-26T00:00:00Z,/subscriptions/.../aoai-app-search,gpt-4.1-prod,gpt-4.1,510149,301039,811188,2163,837.2,0,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-26,batch-2026-09-04,MOCK
2026-07-26T00:00:00Z,/subscriptions/.../aoai-app-dsnb,gpt-4.1-mini-prod,gpt-4.1-mini,169290,114338,283628,1876,3336.6,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-26,batch-2026-09-04,MOCK
2026-07-25T00:00:00Z,/subscriptions/.../aoai-app-checkout,gpt-4.1-mini-prod,gpt-4.1-mini,301610,100904,402514,1164,1440.7,20,2026-09-04T18:00:00Z,AI-FinOps-MOCK,monitor.metrics,2026-07-25,batch-2026-09-04,MOCK
