usage_date,capacity_id,sku,meter_name,quantity,cost_usd,tags_json,_ingested_at,_source_system,_source_api,_watermark,_batch_id,_data_class
2026-08-18,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-18,batch-2026-09-04,MOCK
2026-08-17,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-17,batch-2026-09-04,MOCK
2026-08-16,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-16,batch-2026-09-04,MOCK
2026-08-15,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-15,batch-2026-09-04,MOCK
2026-08-14,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-14,batch-2026-09-04,MOCK
2026-08-13,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-13,batch-2026-09-04,MOCK
2026-08-12,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-12,batch-2026-09-04,MOCK
2026-08-11,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-11,batch-2026-09-04,MOCK
2026-08-10,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-10,batch-2026-09-04,MOCK
2026-08-09,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-09,batch-2026-09-04,MOCK
2026-08-08,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-08,batch-2026-09-04,MOCK
2026-08-07,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-07,batch-2026-09-04,MOCK
2026-08-06,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-06,batch-2026-09-04,MOCK
2026-08-05,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-05,batch-2026-09-04,MOCK
2026-08-04,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-04,batch-2026-09-04,MOCK
2026-08-03,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-03,batch-2026-09-04,MOCK
2026-08-02,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-02,batch-2026-09-04,MOCK
2026-08-01,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-08-01,batch-2026-09-04,MOCK
2026-07-31,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-31,batch-2026-09-04,MOCK
2026-07-30,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-30,batch-2026-09-04,MOCK
2026-07-29,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-29,batch-2026-09-04,MOCK
2026-07-28,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-28,batch-2026-09-04,MOCK
2026-07-27,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-27,batch-2026-09-04,MOCK
2026-07-26,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-26,batch-2026-09-04,MOCK
2026-07-25,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-25,batch-2026-09-04,MOCK
2026-07-24,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-24,batch-2026-09-04,MOCK
2026-07-23,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-23,batch-2026-09-04,MOCK
2026-07-22,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-22,batch-2026-09-04,MOCK
2026-07-21,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-21,batch-2026-09-04,MOCK
2026-07-20,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-20,batch-2026-09-04,MOCK
2026-07-19,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-19,batch-2026-09-04,MOCK
2026-07-18,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-18,batch-2026-09-04,MOCK
2026-07-17,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-17,batch-2026-09-04,MOCK
2026-07-16,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-16,batch-2026-09-04,MOCK
2026-07-15,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-15,batch-2026-09-04,MOCK
2026-07-14,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-14,batch-2026-09-04,MOCK
2026-07-13,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-13,batch-2026-09-04,MOCK
2026-07-12,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-12,batch-2026-09-04,MOCK
2026-07-11,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-11,batch-2026-09-04,MOCK
2026-07-10,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-10,batch-2026-09-04,MOCK
2026-07-09,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-09,batch-2026-09-04,MOCK
2026-07-08,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-08,batch-2026-09-04,MOCK
2026-07-07,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-07,batch-2026-09-04,MOCK
2026-07-06,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-06,batch-2026-09-04,MOCK
2026-07-05,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-05,batch-2026-09-04,MOCK
2026-07-04,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-04,batch-2026-09-04,MOCK
2026-07-03,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-03,batch-2026-09-04,MOCK
2026-07-02,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-02,batch-2026-09-04,MOCK
2026-07-01,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-07-01,batch-2026-09-04,MOCK
2026-06-30,davidshreyasalison,F2,Fabric Capacity Usage,48,8.64,"{""env"":""demo"",""owner"":""finops""}",2026-09-04T18:00:00Z,AI-FinOps-MOCK,costmanagement.usageDetails,2026-06-30,batch-2026-09-04,MOCK
